episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
562, 1305.760727673769, 1, 47.66165878699985, 471, 152597,                                             152597, 19.32632827758789, 194.53530883789062
563, -4654.477004945278, 2, 38.22686048999958, 353, 152950,                                             152950, 19.169692993164062, 193.29583740234375
564, 2279.433586061001, 1, 17.8594373169999, 168, 153118,                                             153118, 21.05255126953125, 194.9425048828125
565, 1403.9549079090357, 1, 60.397174719000304, 457, 153575,                                             153575, 19.958168029785156, 194.05862426757812
566, 1144.3550706803799, 1, 40.86220443399998, 296, 153871,                                             153871, 19.222259521484375, 193.5151824951172
567, 2174.7657943964005, 1, 30.577242320000096, 201, 154072,                                             154072, 17.91482925415039, 193.10987854003906
568, 1540.8118305802345, 1, 28.696530330000314, 209, 154281,                                             154281, 18.296316146850586, 192.10458374023438
569, 2265.6593936681747, 1, 18.233367298999838, 152, 154433,                                             154433, 20.445877075195312, 191.83642578125
570, 2314.3299557566643, 1, 11.049775110000155, 91, 154524,                                             154524, 19.77583122253418, 191.7818145751953
571, 2172.993311494589, 1, 22.744917240000177, 182, 154706,                                             154706, 19.215232849121094, 192.9817352294922
572, 770.409064412117, 1, 51.55456694199984, 442, 155148,                                             155148, 19.42658042907715, 192.21743774414062
573, 2400.0280990302563, 1, 11.636502697999276, 93, 155241,                                             155241, 19.488258361816406, 192.60121154785156
574, 1115.0742399990559, 1, 49.6971945260002, 404, 155645,                                             155645, 20.589111328125, 193.536865234375
575, 2237.947216928005, 1, 20.389709191999827, 148, 155793,                                             155793, 20.87215232849121, 192.2348175048828
576, -2823.8173983097076, 2, 15.264661834000435, 120, 155913,                                             155913, 17.042680740356445, 191.23504638671875
577, -2711.703663110733, 3, 18.083972839000126, 149, 156062,                                             156062, 18.902198791503906, 193.87673950195312
578, 2311.4811228215694, 1, 17.963633228999242, 157, 156219,                                             156219, 19.50046730041504, 192.8732147216797
579, 2017.2319220602512, 1, 31.37038868899981, 288, 156507,                                             156507, 19.52604866027832, 193.40040588378906
