episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1801, 2481.1343179643154, 1, 3.4705588500000886, 30, 420081,                                             64419, 23.59364128112793, 132.07342529296875
1802, -2682.896638572216, 3, 32.20073051200052, 226, 420307,                                             64645, 24.077804565429688, 131.6974334716797
1803, -2491.3324351906776, 3, 20.87832002399955, 148, 420455,                                             64793, 23.539764404296875, 131.59483337402344
1804, 2045.221992880106, 1, 31.292953698999554, 223, 420678,                                             65016, 22.314659118652344, 132.6134033203125
1805, -3418.4747054576874, 3, 23.813221518999853, 153, 420831,                                             65169, 20.579771041870117, 132.5574951171875
1806, 2374.4716730713844, 1, 13.128467759999694, 83, 420914,                                             65252, 21.59433364868164, 135.46107482910156
1807, -2368.6378648281097, 3, 5.366599920000226, 35, 420949,                                             65287, 27.49535369873047, 135.9306640625
1808, 2359.1195131242275, 1, 12.868013978999443, 77, 421026,                                             65364, 23.50938606262207, 136.29869079589844
1809, -2990.1512233018875, 3, 27.961390321999716, 167, 421193,                                             65531, 21.90287208557129, 134.19969177246094
1810, -2627.9044365882874, 3, 29.183804369000427, 158, 421351,                                             65689, 22.491308212280273, 134.13150024414062
1811, -2448.1621428728104, 3, 24.44702192099976, 129, 421480,                                             65818, 22.36848258972168, 131.8446044921875
1812, 2278.3518609702587, 1, 20.366055190001134, 104, 421584,                                             65922, 23.77989387512207, 134.75367736816406
1813, 2188.942615509033, 1, 30.930630352999287, 152, 421736,                                             66074, 24.734403610229492, 135.97274780273438
1814, -2514.8754477500916, 3, 29.923366271001214, 141, 421877,                                             66215, 23.1910400390625, 132.7096710205078
1815, 2409.8578087091446, 1, 14.983436611999423, 56, 421933,                                             66271, 22.98407554626465, 131.02305603027344
1816, 1545.1147399246693, 1, 67.36614081100015, 295, 422228,                                             66566, 22.84700584411621, 133.82579040527344
1817, 1926.1143289506435, 1, 68.34906968900032, 343, 422571,                                             66909, 22.93355369567871, 132.22190856933594
1818, 2209.3551203012466, 1, 35.94001334799941, 181, 422752,                                             67090, 23.290592193603516, 132.00682067871094
1819, 1918.4742439985275, 1, 33.576179116000276, 158, 422910,                                             67248, 23.154109954833984, 132.23936462402344
1820, 1465.8662309646606, 1, 62.26179715999933, 311, 423221,                                             67559, 22.818466186523438, 133.16331481933594
1821, -8504.137572526932, 2, 71.19990817699909, 479, 423700,                                             68038, 22.08700180053711, 133.71185302734375
1822, 2375.5113006830215, 1, 17.748546324999552, 120, 423820,                                             68158, 24.40166664123535, 138.16574096679688
1823, -2909.1388179063797, 3, 17.460036174999914, 118, 423938,                                             68276, 23.469078063964844, 136.1492462158203
1824, 2247.3840557336807, 1, 25.83661546300027, 139, 424077,                                             68415, 24.61467170715332, 135.7725067138672
1825, 1350.7856007814407, 1, 65.55739458000062, 352, 424429,                                             68767, 24.6107120513916, 135.49334716796875
1826, 1817.4302088618279, 1, 51.59596720599984, 280, 424709,                                             69047, 21.924156188964844, 137.0302734375
1827, 1946.685459971428, 1, 44.302114850999715, 238, 424947,                                             69285, 22.833173751831055, 134.05557250976562
1828, 1244.9443081617355, 1, 59.20673561500007, 300, 425247,                                             69585, 22.328306198120117, 134.06988525390625
1829, 1704.3981685638428, 1, 52.46715484999913, 286, 425533,                                             69871, 22.81075096130371, 135.96241760253906
1830, 1919.156864285469, 1, 58.42525462600133, 182, 425715,                                             70053, 22.65089988708496, 134.2482147216797
1831, 1952.9922950267792, 1, 43.47674749399994, 214, 425929,                                             70267, 22.66978645324707, 133.98263549804688
1832, 2265.263674259186, 1, 25.48157621500104, 142, 426071,                                             70409, 22.526716232299805, 134.50082397460938
1833, -2440.0298829078674, 3, 9.644732259999728, 50, 426121,                                             70459, 20.281116485595703, 135.43992614746094
1834, -2425.0155187249184, 3, 23.787417985000502, 131, 426252,                                             70590, 22.838083267211914, 133.310546875
1835, 1676.1754248142242, 1, 33.399694155999896, 185, 426437,                                             70775, 23.037826538085938, 134.27609252929688
1836, -2582.2009782791138, 2, 17.021707679999963, 94, 426531,                                             70869, 20.608009338378906, 134.14190673828125
1837, 1991.1846011579037, 1, 34.89830610399986, 182, 426713,                                             71051, 24.410167694091797, 133.07696533203125
1838, -4183.70330619812, 3, 43.49021611900025, 225, 426938,                                             71276, 22.519010543823242, 135.49130249023438
1839, 2173.7691655158997, 1, 38.2328971120005, 203, 427141,                                             71479, 23.62090301513672, 134.94961547851562
1840, -3300.517441511154, 3, 33.60287756699836, 182, 427323,                                             71661, 23.167810440063477, 136.2339630126953
1841, -2213.691579937935, 3, 16.980293247999725, 87, 427410,                                             71748, 20.429792404174805, 134.14334106445312
1842, 2320.4389796853065, 1, 20.923352408999563, 103, 427513,                                             71851, 23.17234230041504, 135.73988342285156
1843, -2525.746795654297, 2, 11.160239415999968, 53, 427566,                                             71904, 20.79648780822754, 134.918701171875
1844, 2441.764679223299, 1, 11.531417541000337, 58, 427624,                                             71962, 24.720748901367188, 136.94281005859375
1845, 2267.5058864355087, 1, 19.7785683029997, 100, 427724,                                             72062, 23.2877140045166, 136.7977752685547
1846, -3572.1748596429825, 3, 51.110076094999386, 267, 427991,                                             72329, 21.63469886779785, 135.34962463378906
1847, 1742.1075810194016, 1, 31.857487330000367, 144, 428135,                                             72473, 21.78338623046875, 132.85279846191406
1848, 2229.289576292038, 1, 19.12049949700122, 90, 428225,                                             72563, 23.49544906616211, 135.4169921875
1849, 2210.497336357832, 1, 32.05540473600013, 155, 428380,                                             72718, 24.5903263092041, 135.6324920654297
1850, -2589.213935613632, 2, 16.756547494000188, 83, 428463,                                             72801, 24.303165435791016, 137.26596069335938
1851, 2350.369530528784, 1, 15.153260825998586, 81, 428544,                                             72882, 22.655567169189453, 135.53013610839844
1852, 776.1031931638718, 1, 57.46809009499884, 291, 428835,                                             73173, 22.565185546875, 135.46360778808594
1853, 2088.7467049360275, 1, 31.100461374000588, 151, 428986,                                             73324, 22.63775634765625, 133.999267578125
1854, 1967.267548441887, 1, 32.51420413800042, 173, 429159,                                             73497, 24.32506561279297, 134.8776397705078
1855, 2014.6217668056488, 1, 36.27631492100045, 170, 429329,                                             73667, 23.416893005371094, 135.27999877929688
1856, -3017.4261887073517, 3, 50.78900898000029, 248, 429577,                                             73915, 23.59931755065918, 135.32708740234375
1857, 2167.771081238985, 1, 22.339352078999582, 121, 429698,                                             74036, 20.773740768432617, 133.00205993652344
1858, 2280.1333523988724, 1, 17.25876433600024, 87, 429785,                                             74123, 20.15510368347168, 135.49044799804688
1859, 783.0789148807526, 1, 67.64681733500038, 350, 430135,                                             74473, 23.743499755859375, 134.50326538085938
1860, 1577.4120626449585, 1, 61.35852134000015, 335, 430470,                                             74808, 23.481372833251953, 135.03329467773438
1861, -2645.977292776108, 3, 20.416801809999015, 147, 430617,                                             74955, 23.449542999267578, 134.52862548828125
1862, 1130.341973900795, 1, 39.03922997399968, 285, 430902,                                             75240, 21.8616943359375, 134.07643127441406
1863, 2242.8989251852036, 1, 16.6022423659997, 119, 431021,                                             75359, 24.1010799407959, 135.1075897216797
1864, -2988.4401037693024, 2, 17.3352568650007, 116, 431137,                                             75475, 25.357751846313477, 135.92874145507812
1865, 1773.6770371198654, 1, 35.94238890999986, 233, 431370,                                             75708, 23.99958038330078, 134.8260955810547
1866, 1758.4744548797607, 1, 42.94627379600024, 281, 431651,                                             75989, 24.18939781188965, 133.9738006591797
1867, 1965.743495941162, 1, 25.982862245000433, 181, 431832,                                             76170, 23.41680145263672, 133.33824157714844
1868, 2294.1168110370636, 1, 14.602643677000742, 100, 431932,                                             76270, 23.736923217773438, 132.8421173095703
1869, 2040.9560103267431, 1, 46.64394156399976, 320, 432252,                                             76590, 23.832088470458984, 134.7598876953125
1870, -5582.897601366043, 2, 45.91148709900153, 321, 432573,                                             76911, 24.213611602783203, 132.9090576171875
1871, 2136.8918620347977, 1, 18.03546071799974, 128, 432701,                                             77039, 24.47028923034668, 134.3362274169922
1872, 295.9477106332779, 1, 49.57562043300095, 351, 433052,                                             77390, 22.03494644165039, 133.9356231689453
1873, 636.3130660057068, 1, 55.1161841560006, 399, 433451,                                             77789, 23.2677059173584, 133.21946716308594
1874, 1559.1774957478046, 1, 45.53736490600022, 331, 433782,                                             78120, 22.163557052612305, 133.23529052734375
1875, 1925.597564816475, 1, 27.40301905800152, 197, 433979,                                             78317, 21.85723114013672, 130.88095092773438
1876, 1546.068099141121, 1, 42.697616172999915, 312, 434291,                                             78629, 21.949016571044922, 133.5215606689453
1877, -2547.448542356491, 3, 15.666006993998963, 115, 434406,                                             78744, 22.252918243408203, 133.71983337402344
1878, -3028.69173848629, 3, 22.477428667998538, 165, 434571,                                             78909, 22.584938049316406, 133.44110107421875
1879, 1956.1750192046165, 1, 34.18776421500115, 246, 434817,                                             79155, 22.316802978515625, 133.65457153320312
1880, 2075.7609308958054, 1, 16.937088494998534, 128, 434945,                                             79283, 21.895566940307617, 132.41285705566406
1881, 1631.775034070015, 1, 46.66052323299846, 341, 435286,                                             79624, 22.96565055847168, 134.1830596923828
1882, 564.7275438308716, 1, 38.69026759600092, 279, 435565,                                             79903, 23.0577392578125, 134.0586395263672
1883, 1437.8842434883118, 1, 51.43317855799978, 382, 435947,                                             80285, 23.017833709716797, 134.5265350341797
1884, 1891.28344976902, 1, 34.95012202500038, 249, 436196,                                             80534, 21.781225204467773, 134.13441467285156
1885, 1291.0982658863068, 1, 47.75048398999934, 336, 436532,                                             80870, 22.60308074951172, 134.072021484375
