episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7801, 2353.5471050441265, 1, 25.33075563699822, 36, 2480902,                                             63224, 62.48841857910156, 475.22747802734375
7802, 2292.2246603369713, 1, 43.45902550100436, 64, 2480966,                                             63288, 61.754173278808594, 472.86181640625
7803, -277.53906869888306, 5, 23.499076877000334, 34, 2481000,                                             63322, 63.09082794189453, 474.7365417480469
7804, -237.58126944303513, 5, 39.894063845000346, 56, 2481056,                                             63378, 61.99159622192383, 472.1106262207031
7805, -117.5304005742073, 5, 24.265710128005594, 30, 2481086,                                             63408, 59.27235794067383, 473.5025329589844
7806, 2199.374251127243, 1, 58.836346975003835, 78, 2481164,                                             63486, 62.710548400878906, 474.0925598144531
7807, 2273.437477648258, 1, 51.96426884399989, 67, 2481231,                                             63553, 60.36943054199219, 473.5094299316406
7808, -187.0206127166748, 5, 28.595021120003366, 36, 2481267,                                             63589, 61.35709762573242, 475.56878662109375
7809, -182.16837191581726, 5, 41.3200327049999, 54, 2481321,                                             63643, 61.82392120361328, 474.0541076660156
7810, 2214.197613656521, 1, 58.78834870299761, 79, 2481400,                                             63722, 60.22624206542969, 474.1191101074219
7811, -2968.493595480919, 2, 74.2705940970045, 89, 2481489,                                             63811, 61.062164306640625, 473.5061340332031
7812, 2310.5194110274315, 1, 39.432879699001205, 51, 2481540,                                             63862, 59.856964111328125, 474.1268005371094
7813, -2431.3678464889526, 3, 35.40701623800123, 45, 2481585,                                             63907, 64.04905700683594, 474.28070068359375
7814, 2185.748356819153, 1, 81.78624640800263, 101, 2481686,                                             64008, 59.38827133178711, 473.1112060546875
7815, -2409.0966995954514, 3, 66.33312340900011, 82, 2481768,                                             64090, 62.56756591796875, 472.6702880859375
7816, -4030.2010524868965, 3, 190.64930526299577, 249, 2482017,                                             64339, 60.43366622924805, 475.0374450683594
7817, 1522.7202479243279, 1, 129.31167755099887, 171, 2482188,                                             64510, 60.4518928527832, 475.2330017089844
7818, 1734.8622747063637, 1, 136.45583318499848, 165, 2482353,                                             64675, 59.808349609375, 475.3191833496094
7819, -3505.368436217308, 2, 235.6015423429999, 311, 2482664,                                             64986, 60.85260009765625, 475.85028076171875
