episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7401, 3127.231936201453, 1, 2.5033219510000038, 390, 2418068,                                             390, 0.0, 0.0
7402, -29255.449928045273, 1, 151.673946549, 958, 2419026,                                             1348, 2.838592529296875, 144.7677459716797
7403, -2089.3397823330015, 3, 78.71409637099998, 145, 2419171,                                             1493, 11.98953628540039, 430.7467956542969
7404, 2515.9642829711083, 1, 16.667002059000026, 30, 2419201,                                             1523, 12.592914581298828, 433.3139953613281
7405, 1606.9104239158332, 1, 194.31852569, 332, 2419533,                                             1855, 15.178150177001953, 434.34124755859375
7406, -118.1281298995018, 5, 16.16531937600007, 30, 2419563,                                             1885, 20.16571044921875, 433.4464416503906
7407, -2101.58843062073, 3, 32.946604421000075, 58, 2419621,                                             1943, 22.40273094177246, 439.0116882324219
7408, 2263.548609304009, 1, 139.64675208300002, 246, 2419867,                                             2189, 20.513050079345703, 438.5404968261719
7409, -80.06635327613913, 5, 93.84517694299996, 151, 2420018,                                             2340, 19.481794357299805, 435.253662109375
7410, 2453.2429992854595, 1, 30.04834546500001, 48, 2420066,                                             2388, 17.609315872192383, 432.3890686035156
7411, 2409.452609082684, 1, 51.75098182700003, 85, 2420151,                                             2473, 21.311817169189453, 431.151611328125
7412, -83.74038750916952, 5, 84.77855240100007, 158, 2420309,                                             2631, 24.547029495239258, 428.2318115234375
7413, 2425.1613021302037, 1, 48.121545279999964, 92, 2420401,                                             2723, 24.61676597595215, 427.0052795410156
7414, 2310.577676531393, 1, 101.31740159700007, 196, 2420597,                                             2919, 25.32341194152832, 424.8768615722656
7415, -89.33681946992874, 5, 16.487723852000045, 30, 2420627,                                             2949, 29.46767807006836, 426.8066101074219
7416, 2434.6033171899617, 1, 28.871419637000145, 55, 2420682,                                             3004, 30.083951950073242, 431.2157897949219
7417, -2241.3995359623805, 3, 66.75667419600018, 130, 2420812,                                             3134, 32.301883697509766, 430.49114990234375
7418, 2358.058594798669, 1, 53.96248919100003, 101, 2420913,                                             3235, 33.3394775390625, 430.5483093261719
7419, 2471.7583314245567, 1, 35.64605339499985, 62, 2420975,                                             3297, 32.26104736328125, 429.97808837890625
7420, -97.9596997499466, 5, 16.419948791000024, 30, 2421005,                                             3327, 33.13566207885742, 429.5072937011719
7421, -66.47275453666225, 5, 64.27643724100017, 119, 2421124,                                             3446, 35.804420471191406, 430.1161804199219
7422, 2347.759768621996, 1, 51.903363850999995, 101, 2421225,                                             3547, 33.544864654541016, 426.6778259277344
7423, 2247.253803237807, 1, 146.46870048699998, 285, 2421510,                                             3832, 33.616554260253906, 422.3809814453125
7424, -301.31634692288935, 5, 134.55656224200015, 294, 2421804,                                             4126, 33.6499137878418, 418.133544921875
7425, -99.25604287721217, 5, 54.086887023000145, 129, 2421933,                                             4255, 32.81367492675781, 414.32098388671875
7426, -2051.3927476257086, 3, 20.632134425999993, 50, 2421983,                                             4305, 30.280624389648438, 412.9775695800781
7427, -8.339112777262926, 5, 29.684406286000012, 69, 2422052,                                             4374, 31.413244247436523, 413.2476806640625
7428, 2454.3310290277004, 1, 28.459911938999994, 65, 2422117,                                             4439, 32.2817268371582, 413.7657165527344
7429, 2465.3982120356523, 1, 34.43068114700009, 63, 2422180,                                             4502, 33.557334899902344, 412.1248779296875
7430, 2440.861905457452, 1, 36.538278337000065, 80, 2422260,                                             4582, 33.541744232177734, 411.8934020996094
7431, 2474.5960949840955, 1, 28.78222025399964, 64, 2422324,                                             4646, 33.904273986816406, 409.9197692871094
7432, -51.467670699581504, 5, 139.52916915800006, 297, 2422621,                                             4943, 34.42466354370117, 407.4083557128906
7433, 2489.0861233212054, 1, 50.88362651500029, 106, 2422727,                                             5049, 33.60554885864258, 403.3079528808594
7434, -336.6580030322075, 5, 74.90593419600009, 157, 2422884,                                             5206, 35.11432647705078, 403.6148376464844
7435, 2503.557187563041, 1, 32.59252649100017, 69, 2422953,                                             5275, 33.157020568847656, 401.609130859375
7436, -254.51311640441418, 5, 100.65982800999973, 212, 2423165,                                             5487, 34.40725326538086, 401.44146728515625
7437, 504.8207419634564, 1, 646.365914854, 1334, 2424499,                                             6821, 32.72157287597656, 402.81597900390625
7438, 666.3694534301758, 1, 50.176496787999895, 95, 2424594,                                             6916, 33.49449920654297, 407.0700378417969
7439, -137.13759592175484, 5, 24.445682358999875, 53, 2424647,                                             6969, 35.87517547607422, 407.2170104980469
7440, 2426.5915365330875, 1, 27.457339664999836, 52, 2424699,                                             7021, 34.39674758911133, 407.6234130859375
7441, -2488.7039906445425, 3, 190.4505627980002, 419, 2425118,                                             7440, 34.0484619140625, 407.8983154296875
7442, 2448.667185944505, 1, 28.019601971000156, 61, 2425179,                                             7501, 37.64508056640625, 410.6712951660156
7443, -2050.40049380064, 3, 14.270559373999731, 30, 2425209,                                             7531, 35.791175842285156, 410.4358215332031
7444, 2237.582415789133, 1, 123.127642036, 218, 2425427,                                             7749, 35.392433166503906, 409.7344055175781
7445, -41215.18979072571, 5, 525.6164939690002, 1110, 2426537,                                             8859, 34.93690872192383, 409.907470703125
7446, -2177.6026595807634, 3, 71.73832043200036, 141, 2426678,                                             9000, 33.93923568725586, 412.45086669921875
7447, 1602.303181232186, 1, 208.09792453299997, 457, 2427135,                                             9457, 34.322120666503906, 413.9083557128906
7448, -6393.797979354858, 3, 74.92367816399928, 159, 2427294,                                             9616, 34.6429557800293, 414.5436706542969
7449, -20.02276484668255, 5, 41.87310030499975, 89, 2427383,                                             9705, 33.66933059692383, 415.3096618652344
7450, 2479.307409378205, 1, 72.23412625299989, 140, 2427523,                                             9845, 35.43486022949219, 414.10498046875
7451, -641.316983142402, 5, 258.74479944299947, 516, 2428039,                                             10361, 33.684486389160156, 413.1732177734375
7452, 2524.2124559301883, 1, 32.44821092299935, 64, 2428103,                                             10425, 33.6411018371582, 411.9073791503906
7453, -2520.4325837641954, 3, 153.3516302729995, 318, 2428421,                                             10743, 33.60577392578125, 412.89862060546875
7454, -2090.7665757864015, 3, 42.210383564999574, 72, 2428493,                                             10815, 33.46702575683594, 413.71514892578125
7455, -2122.4368411898613, 5, 82.17773093100004, 154, 2428647,                                             10969, 34.362953186035156, 413.4308776855469
7456, -6465.913192272186, 1, 239.99891469199974, 482, 2429129,                                             11451, 34.18074417114258, 413.65850830078125
7457, -2696.703615278937, 3, 200.7322622110005, 417, 2429546,                                             11868, 34.46160125732422, 414.7029724121094
7458, -4130.773475646973, 2, 71.70990448399971, 150, 2429696,                                             12018, 34.387489318847656, 415.92059326171875
7459, -136.14753216295503, 5, 141.11966947600013, 303, 2429999,                                             12321, 33.83561706542969, 415.89794921875
7460, -4566.840077534318, 5, 207.33067408700026, 423, 2430422,                                             12744, 33.89276885986328, 415.6393737792969
7461, -2035.5655450563645, 3, 21.775704587999826, 45, 2430467,                                             12789, 31.800504684448242, 414.9329833984375
7462, -2111.4683002866805, 3, 36.070853101000466, 76, 2430543,                                             12865, 33.78342819213867, 415.0050048828125
7463, -279.0131759895012, 5, 142.4751807499997, 302, 2430845,                                             13167, 32.83194351196289, 415.0257263183594
