episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
7663, -211.33958101272583, 5, 18.386554132004676, 30, 2465917,                                             48239, 50.76457595825195, 448.1453857421875
7664, -3179.8731559515, 2, 41.02325505400222, 80, 2465997,                                             48319, 54.32612228393555, 448.09368896484375
7665, 2115.418370783329, 1, 58.94111739900109, 109, 2466106,                                             48428, 52.94075393676758, 447.98614501953125
7666, -2988.551567673683, 3, 110.51713721700071, 207, 2466313,                                             48635, 53.78352355957031, 447.7856140136719
7667, 2140.4494421482086, 1, 50.24385373399855, 98, 2466411,                                             48733, 53.77302551269531, 448.2528991699219
7668, -4999.029310822487, 3, 106.60479276799742, 222, 2466633,                                             48955, 52.99297332763672, 449.1734619140625
7669, -367.1770522594452, 5, 39.53332711699477, 77, 2466710,                                             49032, 52.896644592285156, 449.140869140625
7670, 2430.5278104543686, 1, 14.583332533999055, 30, 2466740,                                             49062, 54.17158508300781, 449.89276123046875
7671, -396.8107707500458, 5, 68.99443322599836, 129, 2466869,                                             49191, 52.162330627441406, 450.0500793457031
7672, -2453.197278916836, 2, 24.11459060299967, 49, 2466918,                                             49240, 53.41120147705078, 450.7071228027344
7673, -458.60936361551285, 5, 56.901661862000765, 108, 2467026,                                             49348, 53.88875961303711, 449.9225158691406
7674, -2641.676466524601, 3, 54.85847390900017, 105, 2467131,                                             49453, 53.48375701904297, 448.8194885253906
7675, -505.45259124040604, 5, 65.31243061500572, 132, 2467263,                                             49585, 54.587493896484375, 449.69891357421875
7676, 2321.6862168312073, 1, 24.590101611996943, 48, 2467311,                                             49633, 55.269256591796875, 450.9990539550781
7677, 1363.74175709486, 1, 123.2912059329974, 232, 2467543,                                             49865, 53.41758728027344, 449.7249450683594
7678, -2513.4676570892334, 2, 16.49690147000365, 30, 2467573,                                             49895, 55.001808166503906, 450.67645263671875
7679, -2421.2157163619995, 3, 39.857931071004714, 78, 2467651,                                             49973, 52.494956970214844, 449.57928466796875
7680, -446.3194725215435, 5, 63.987645594999776, 120, 2467771,                                             50093, 52.84366989135742, 450.7372131347656
